file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/math/LinearTransformation.java,com.google.common.math.LinearTransformation,class,8,15,7,8,10,4,6,2,45,0.0,0.0,0.0,10,4,10,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,4,150,4,0,0,0,0,0,1,1,0,1,0,0,4,0,125,1025,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/CartesianList.java,com.google.common.collect.CartesianList$Anonymous1,anonymous,6,6,0,6,4,1,0,7,6,0.0,0.0,0.0,4,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,16,4,0,0,0,0,1,0,1,0,1,0,0,0,0,17,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/util/concurrent/AbstractService.java,com.google.common.util.concurrent.AbstractService$Anonymous2,anonymous,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/util/concurrent/AbstractService.java,com.google.common.util.concurrent.AbstractService$Anonymous3,anonymous,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,0,0,1,0,0,0,0,0,6,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/util/concurrent/AbstractService.java,com.google.common.util.concurrent.AbstractService$Anonymous4,anonymous,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,0,0,1,0,0,0,0,0,6,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/util/concurrent/AbstractService.java,com.google.common.util.concurrent.AbstractService$Anonymous5,anonymous,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,3,0,0,1,0,0,0,0,0,7,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/primitives/Floats.java,com.google.common.primitives.Floats$FloatArrayAsList,innerclass,6,6,0,6,27,3,0,14,0,0.4107143,0.0,0.0,14,0,11,0,0,3,14,0,0,0,4,1,0,1,0,3,4,0,6,96,19,3,5,0,1,1,12,17,14,15,3,0,0,0,49,26,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/util/concurrent/AbstractService.java,com.google.common.util.concurrent.AbstractService$Anonymous1,anonymous,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/FilteredEntryMultimap.java,com.google.common.collect.FilteredEntryMultimap,class,21,32,11,21,25,7,0,33,99,0.6666667,0.0,0.0,18,1,7,1,0,10,17,0,0,0,2,0,0,0,0,2,2,0,12,268,16,1,2,0,1,2,0,8,0,7,3,0,3,0,58,0,0
/workspace/guava-static-analysis/ck/target/../../guava/guava/src/com/google/common/collect/TreeRangeMap.java,com.google.common.collect.TreeRangeMap$RangeMapEntry,innerclass,4,4,0,4,5,2,0,3,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,0
